ps,qs,Ps,Qs,aic
1,0,4,0,-261.71964700917204
1,0,4,1,-259.7235995741169
1,0,4,2,-258.7584777213863
1,0,4,3,-261.36186089448324
1,0,4,4,-258.31199474405275
1,1,0,0,-238.39360907271438
1,1,0,1,-266.0053008893574
1,1,0,2,-264.5804456966887
1,1,0,3,-262.8926119041787
1,1,0,4,-265.49154460573914
1,1,1,0,-262.4908208612274
1,1,1,1,-264.5295270931545
1,1,1,2,-262.53278224819445
1,1,1,3,-260.9226957689373
1,1,1,4,-265.6806685123115
1,1,2,0,-263.2133678520115
1,1,2,1,-262.5396248636475
1,1,2,2,-260.5320759118056
1,1,2,3,-264.32925089317075
1,1,2,4,-263.8626670846364
1,1,3,0,-263.69993453039194
1,1,3,1,-261.69133955963986
1,1,3,2,-260.69663156794286
1,1,3,3,-264.1876285846428
1,1,3,4,-261.8060827003909
1,1,4,0,-261.7001644935637
1,1,4,1,-259.7187044804343
1,1,4,2,-258.551669509639
1,1,4,3,-261.8590607725762
1,1,4,4,-259.16956406493136
1,2,0,0,-237.0652458871454
1,2,0,1,-263.7695600318399
1,2,0,2,-262.38535044531966
1,2,0,3,-260.62858382936696
1,2,0,4,-263.5076815385081
1,2,1,0,-260.65016318611345
1,2,1,1,-262.33542902372113
1,2,1,2,-260.61177805113107
1,2,1,3,-259.28780295876044
1,2,1,4,-263.23627452500205
1,2,2,0,-261.1669888193254
1,2,2,1,-260.3411026836119
1,2,2,2,-258.42025277233495
1,2,2,3,-262.16960781328737
1,2,2,4,-261.6713455633343
1,2,3,0,-261.3848033178367
1,2,3,1,-259.351281565709
1,2,3,2,-261.3004841295667
1,2,3,3,-261.81843612459556
1,2,3,4,-259.2643363464925
1,2,4,0,-259.3558928288554
1,2,4,1,-258.9002933408059
1,2,4,2,-261.115798075178
1,2,4,3,-259.8499489044015
1,2,4,4,-257.7617082146754
1,3,0,0,-239.46934332116223
1,3,0,1,-265.5143540868797
1,3,0,2,-263.6716680618156
1,3,0,3,-261.8292165462697
1,3,0,4,-265.18541052557475
1,3,1,0,-260.75867298582784
1,3,1,1,-263.6612862080936
1,3,1,2,-261.69697131886977
1,3,1,3,-259.90457039876617
1,3,1,4,-263.92530952549714
1,3,2,0,-261.50914903347893
1,3,2,1,-261.66427948137823
1,3,2,2,-259.7004492627896
1,3,2,3,-257.69274897903875
1,3,2,4,-261.5819060884778
1,3,3,0,-263.515363743615
1,3,3,1,-261.5476835133731
1,3,3,2,-261.4914194070532
1,3,3,3,-259.8350664430224
1,3,3,4,-259.79423348490013
1,3,4,0,-261.56874363652446
1,3,4,1,-259.5328566917019
1,3,4,2,-257.9896486429566
1,3,4,3,-259.2348172901143
1,3,4,4,-258.56597251200526
2,0,0,0,-237.65194185684607
2,0,0,1,-264.82042953737096
2,0,0,2,-263.37885559087545
2,0,0,3,-261.57260852881825
2,0,0,4,-262.95555363481765
2,0,1,0,-261.22935199970163
2,0,1,1,-263.3397229031022
2,0,1,2,-261.88765458196735
2,0,1,3,-260.0159105403253
2,0,1,4,-263.9642216707401
2,0,2,0,-262.066812543692
2,0,2,1,-261.34519744547936
2,0,2,2,-259.34120026871506
2,0,2,3,-262.7117869587446
2,0,2,4,-262.1825086194269
2,0,3,0,-262.1929214428894
2,0,3,1,-260.19370944703036
2,0,3,2,-263.5331309196803
2,0,3,3,-262.1893306037908
2,0,3,4,-259.96871728409144
2,0,4,0,-260.19627645479807
2,0,4,1,-258.194782962393
2,0,4,2,-258.8176173633816
2,0,4,3,-260.1479312036777
2,0,4,4,-258.12799213507606
2,1,0,0,-242.87937500892204
2,1,0,1,-268.5155758252737
2,1,0,2,-266.7474850276148
2,1,0,3,-263.0751424338049
2,1,0,4,-266.02342152459323
2,1,1,0,-261.54873218812986
2,1,1,1,-266.7367443685841
2,1,1,2,-264.84354294868
2,1,1,3,-263.36671636736753
2,1,1,4,-266.9440925157527
2,1,2,0,-265.0669888668672
2,1,2,1,-263.70340867004325
2,1,2,2,-262.5619211627122
2,1,2,3,-264.42043172760486
2,1,2,4,-264.31621180613337
2,1,3,0,-265.8549120234765
2,1,3,1,-263.87369412203793
2,1,3,2,-260.9058491123624
2,1,3,3,-263.871569638536
2,1,3,4,-261.620695848935
2,1,4,0,-264.0184313107398
2,1,4,1,-262.0664302839553
2,1,4,2,-264.7807492843176
2,1,4,3,-262.507432403995
2,1,4,4,-258.58950085781055
2,2,0,0,-241.90907120101164
2,2,0,1,-266.5113584851139
2,2,0,2,-264.67607189491457
2,2,0,3,-262.15987479619986
2,2,0,4,-263.97427189629525
2,2,1,0,-259.83999129230205
2,2,1,1,-262.8244459313209
2,2,1,2,-263.1504083761188
2,2,1,3,-258.74392878514647
2,2,1,4,-264.32599298541857
2,2,2,0,-260.5801634458022
2,2,2,1,-260.3771550835189
2,2,2,2,-259.6085589709912
2,2,2,3,-261.2521865305938
2,2,2,4,-261.93252419854144
2,2,3,0,-264.03020214297896
2,2,3,1,-261.2498807092627
2,2,3,2,-258.71317756274425
2,2,3,3,-262.12373682992563
2,2,3,4,-259.41081521691353
2,2,4,0,-261.58407168025064
2,2,4,1,-259.31689842208414
2,2,4,2,-262.1972740952308
2,2,4,3,-259.6770068726126
2,2,4,4,-257.35388167567635
2,3,0,0,-249.87025301688476
2,3,0,1,-268.6716059926837
2,3,0,2,-266.6898608709963
2,3,0,3,-264.37363049060076
2,3,0,4,-266.6654306336001
2,3,1,0,-266.6061705202899
2,3,1,1,-265.93228927126876
2,3,1,2,-265.2276780207841
2,3,1,3,-262.1508265426319
2,3,1,4,-268.0596982350943
2,3,2,0,-264.98448971163816
2,3,2,1,-263.7886865650957
2,3,2,2,-262.383931163096
2,3,2,3,-261.0333545057341
2,3,2,4,-264.89903681028875
2,3,3,0,-264.957106839221
2,3,3,1,-263.9130877643846
2,3,3,2,-261.8506635313647
2,3,3,3,-262.38208074160394
2,3,3,4,-263.0099565370373
2,3,4,0,-263.0002781555587
2,3,4,1,-261.364443692407
2,3,4,2,-262.0520629226059
2,3,4,3,-262.2078401049513
2,3,4,4,-261.59743259803906
3,0,0,0,-239.80379299627037
3,0,0,1,-263.8917070133248
3,0,0,2,-262.20830690302864
3,0,0,3,-260.24865317039695
3,0,0,4,-261.9134539895682
3,0,1,0,-260.67859407356985
3,0,1,1,-262.2052026396217
3,0,1,2,-261.00948392730265
3,0,1,3,-258.9568399879755
3,0,1,4,-262.843587966071
3,0,2,0,-260.82184011873437
3,0,2,1,-260.2092865303455
3,0,2,2,-258.6590921017083
3,0,2,3,-260.87701215486345
3,0,2,4,-260.70846945780784
3,0,3,0,-261.1718640745155
3,0,3,1,-259.21879439852387
3,0,3,2,-260.6910712509134
3,0,3,3,-260.71134224220197
3,0,3,4,-258.3332640651642
3,0,4,0,-259.27397295984855
3,0,4,1,-257.25451380075117
3,0,4,2,-257.1047603666981
3,0,4,3,-257.78898205375515
3,0,4,4,-256.5975540537559
3,1,0,0,-239.19845586365625
3,1,0,1,-266.5160846432194
3,1,0,2,-262.7819638347074
3,1,0,3,-262.2399400178191
3,1,0,4,-264.09288729989834
3,1,1,0,-260.2775106322024
3,1,1,1,-262.76321283308425
3,1,1,2,-260.8124094792201
3,1,1,3,-259.0190820634042
3,1,1,4,-264.8796238728518
3,1,2,0,-260.7756519998685
3,1,2,1,-261.134159604323
3,1,2,2,-258.858390041313
3,1,2,3,-262.14458213778084
3,1,2,4,-262.9020305685895
3,1,3,0,-262.7484890457944
3,1,3,1,-261.9241241132671
3,1,3,2,-258.529331532754
3,1,3,3,-262.22199377981633
3,1,3,4,-260.68547826298544
3,1,4,0,-261.138484800654
3,1,4,1,-258.7228633216657
3,1,4,2,-258.0751033326229
3,1,4,3,-260.0209432202585
3,1,4,4,-257.18172709748444
3,2,0,0,-237.58502686000054
3,2,0,1,-262.5587475161286
3,2,0,2,-260.66809109661625
3,2,0,3,-258.91900287130755
3,2,0,4,-262.93418587661233
3,2,1,0,-258.7728726100052
3,2,1,1,-260.7236248103065
3,2,1,2,-258.8633711423571
3,2,1,3,-256.8351056293126
3,2,1,4,-262.8648460531917
3,2,2,0,-259.0121424481155
3,2,2,1,-258.7156866029542
3,2,2,2,-256.778433872467
3,2,2,3,-258.9072495019896
3,2,2,4,-260.06477621062834
3,2,3,0,-262.0198951817997
3,2,3,1,-258.30500831441043
3,2,3,2,-260.7823284064975
3,2,3,3,-257.7330829259458
3,2,3,4,-257.3623387742427
3,2,4,0,-258.3420934904332
3,2,4,1,-258.29239016136535
3,2,4,2,-255.34609120670956
3,2,4,3,-255.82942864700544
3,2,4,4,-255.28602420266998
3,3,0,0,-249.2118980750697
3,3,0,1,-265.1044028559147
3,3,0,2,-263.62333524838374
3,3,0,3,-266.18544004738783
3,3,0,4,-269.7649166392546
3,3,1,0,-263.5623983095634
3,3,1,1,-264.2962089263271
3,3,1,2,-262.9470120930489
3,3,1,3,-259.8091932593258
3,3,1,4,-264.857334845269
3,3,2,0,-263.4812759949182
3,3,2,1,-262.469429550344
3,3,2,2,-261.31430018556614
3,3,2,3,-262.81409710185
3,3,2,4,-265.1821776361876
3,3,3,0,-264.5798477518846
3,3,3,1,-261.58563614726916
3,3,3,2,-260.26470104998214
3,3,3,3,-265.96227228389125
3,3,3,4,-264.4024597486707
3,3,4,0,-263.87336434627264
3,3,4,1,-262.34212509275676
3,3,4,2,-259.55421284854026
3,3,4,3,-263.3473090925988
3,3,4,4,-261.1858064192262
4,0,0,0,-240.0296192198491
4,0,0,1,-265.817733413693
4,0,0,2,-264.31649865495905
4,0,0,3,-262.7793803536147
4,0,0,4,-265.1427912229535
4,0,1,0,-261.8636381139405
4,0,1,1,-264.2608007259029
4,0,1,2,-262.26385957160187
4,0,1,3,-260.8396607370822
4,0,1,4,-265.1716134072167
4,0,2,0,-262.78512884264535
4,0,2,1,-262.2884473967711
4,0,2,2,-260.2633565248136
4,0,2,3,-264.2287942668087
4,0,2,4,-263.81360394678825
4,0,3,0,-263.5200284957984
4,0,3,1,-261.5294530274185
4,0,3,2,-261.6954209261425
4,0,3,3,-263.53646549321763
4,0,3,4,-261.61295799369907
4,0,4,0,-261.5366957171209
4,0,4,1,-260.79954672384747
4,0,4,2,-260.50923912102184
4,0,4,3,-261.4985465225957
4,0,4,4,-259.984537735628
4,1,0,0,-238.10852907507427
4,1,0,1,-263.85431020088276
4,1,0,2,-262.35510030873394
4,1,0,3,-260.87478029312683
4,1,0,4,-263.54373372919866
4,1,1,0,-259.86764784990896
4,1,1,1,-262.2963428156101
4,1,1,2,-260.2864326698148
4,1,1,3,-258.4085843640401
4,1,1,4,-263.2649765740912
4,1,2,0,-260.7944883517751
4,1,2,1,-260.32003638526
4,1,2,2,-258.3065522076779
4,1,2,3,-262.4514168007396
4,1,2,4,-261.9022843293918
4,1,3,0,-261.6221019996648
4,1,3,1,-259.6320127924995
4,1,3,2,-258.94947497211507
4,1,3,3,-260.0590043435604
4,1,3,4,-259.85355713412105
4,1,4,0,-259.6403254293255
4,1,4,1,-257.75471878304415
4,1,4,2,-257.9818592590678
4,1,4,3,-259.3305099606539
4,1,4,4,-258.2755795222997
4,2,0,0,-248.00398653572245
4,2,0,1,-265.2504400504741
4,2,0,2,-263.7448809673635
4,2,0,3,-261.50684327168364
4,2,0,4,-263.62808824573165
4,2,1,0,-260.96482546895004
4,2,1,1,-263.3206683335188
4,2,1,2,-262.54410170957067
4,2,1,3,-258.4462546129073
4,2,1,4,-260.20671426585125
4,2,2,0,-261.7782809094891
4,2,2,1,-261.98748215234104
4,2,2,2,-258.24167095840096
4,2,2,3,-262.21849537277046
4,2,2,4,-262.16063520887553
4,2,3,0,-261.63741976281364
4,2,3,1,-260.53267600400363
4,2,3,2,-258.59122916222395
4,2,3,3,-262.78534385460534
4,2,3,4,-260.74977845036494
4,2,4,0,-259.96396308908527
4,2,4,1,-257.4998605353922
4,2,4,2,-255.7307056865044
4,2,4,3,-259.563741992853
4,2,4,4,-257.8878155154127
4,3,0,0,-244.96055251943557
4,3,0,1,-265.4030876144418
4,3,0,2,-262.3478353658593
4,3,0,3,-261.85100765665095
4,3,0,4,-267.68664679841874
4,3,1,0,-258.9824111353315
4,3,1,1,-262.54533285945996
4,3,1,2,-260.1932719406961
4,3,1,3,-258.5053800569766
4,3,1,4,-263.0517770194143
4,3,2,0,-260.9477916182552
4,3,2,1,-260.66129134077346
4,3,2,2,-257.8906943505852
4,3,2,3,-261.3556337795669
4,3,2,4,-262.3947314596671
4,3,3,0,-264.9007233399411
4,3,3,1,-262.7945249515245
4,3,3,2,-259.3047403250623
4,3,3,3,-260.10373611453423
4,3,3,4,-260.138869188885
4,3,4,0,-262.57835396537365
4,3,4,1,-260.0148623039686
4,3,4,2,-257.6378703179677
4,3,4,3,-259.8790961653642
4,3,4,4,-256.9101265594521
5,0,0,0,-238.16027326737395
5,0,0,1,-263.87450113466525
5,0,0,2,-262.3800602117579
5,0,0,3,-260.93907562745613
5,0,0,4,-263.83351124079644
5,0,1,0,-259.87165015741664
5,0,1,1,-262.31945447259386
5,0,1,2,-260.3074801550606
5,0,1,3,-258.4710327661127
5,0,1,4,-262.97759069904345
5,0,2,0,-260.8018742172485
5,0,2,1,-260.3543754465952
5,0,2,2,-258.3250438432633
5,0,2,3,-262.67479830887976
5,0,2,4,-262.1368704663534
5,0,3,0,-261.6765281978307
5,0,3,1,-259.6875780314493
5,0,3,2,-258.20028638105714
5,0,3,3,-261.837060873994
5,0,3,4,-260.1334344034558
5,0,4,0,-259.6965158811469
5,0,4,1,-258.1282542498713
5,0,4,2,-256.1280318755766
5,0,4,3,-259.1936380268477
5,0,4,4,-258.25326978153674
5,1,0,0,-236.18582295269752
5,1,0,1,-261.8439210998734
5,1,0,2,-260.339522219629
5,1,0,3,-259.20145545135256
5,1,0,4,-262.544498557359
5,1,1,0,-257.9366238761581
5,1,1,1,-260.28195380638556
5,1,1,2,-258.276993433005
5,1,1,3,-256.5031100958595
5,1,1,4,-262.01539837329534
5,1,2,0,-258.78516085425713
5,1,2,1,-258.3135418591918
5,1,2,2,-262.0509690510162
5,1,2,3,-260.6897078173912
5,1,2,4,-260.18852071607665
5,1,3,0,-259.6133515400096
5,1,3,1,-257.6249166009361
5,1,3,2,-256.20687086624974
5,1,3,3,-259.7632835121981
5,1,3,4,-257.91251574804323
5,1,4,0,-257.6304673655096
5,1,4,1,-257.68203928702945
5,1,4,2,-254.21466733538233
5,1,4,3,-256.9259799683316
5,1,4,4,-256.29982534761325
5,2,0,0,-244.3923927761217
5,2,0,1,-262.67980670972656
5,2,0,2,-262.11325433060915
5,2,0,3,-260.7260101902084
5,2,0,4,-262.4919339689087
5,2,1,0,-259.99981236138035
5,2,1,1,-262.37391453682557
5,2,1,2,-260.5944846785744
5,2,1,3,-258.5802658868862
5,2,1,4,-259.5073694396717
5,2,2,0,-261.3440042426859
5,2,2,1,-262.0191847724929
5,2,2,2,-258.1441746295741
5,2,2,3,-263.8896844851141
5,2,2,4,-265.56969938603584
5,2,3,0,-260.7912972531776
5,2,3,1,-259.29541786988267
5,2,3,2,-257.1816850603534
5,2,3,3,-262.6135443701252
5,2,3,4,-259.2273523451927
5,2,4,0,-259.42162192052814
5,2,4,1,-256.78039265101285
5,2,4,2,-255.97909679078634
5,2,4,3,-260.1220077974149
5,2,4,4,-258.56144942161785
5,3,0,0,-245.90388133797757
5,3,0,1,-261.5840050251328
5,3,0,2,-260.3741367757292
5,3,0,3,-259.45320033563485
5,3,0,4,-262.74895474765776
5,3,1,0,-261.1871736179971
5,3,1,1,-260.2824776144471
5,3,1,2,-258.33658967237767
5,3,1,3,-256.31777086592786
5,3,1,4,-258.79662305998943
5,3,2,0,-258.318858790947
5,3,2,1,-258.221228855802
5,3,2,2,-256.0634137947274
5,3,2,3,-254.6687199568256
5,3,2,4,-259.5243238556159
5,3,3,0,-260.61712831479696
5,3,3,1,-258.90260517315323
5,3,3,2,-256.96075866118645
5,3,3,3,-259.1421584405735
5,3,3,4,-257.6254445198748
5,3,4,0,-258.70220429077153
5,3,4,1,-260.25517012101216
5,3,4,2,-255.095298968826
5,3,4,3,-256.09780440224847
5,3,4,4,-255.02993711631234
6,0,0,0,-236.29563120112093
6,0,0,1,-262.2594760091167
6,0,0,2,-260.9021420930777
6,0,0,3,-259.5996945785581
6,0,0,4,-262.97852139766553
6,0,1,0,-258.6374588436847
6,0,1,1,-260.81932461601014
6,0,1,2,-258.8016238749001
6,0,1,3,-257.1972901722693
6,0,1,4,-262.59461556082476
6,0,2,0,-259.4532784173792
6,0,2,1,-258.85520089948193
6,0,2,2,-256.8287838635447
6,0,2,3,-261.75302258439285
6,0,2,4,-261.46774723525766
6,0,3,0,-260.15710577566705
6,0,3,1,-258.18168978786355
6,0,3,2,-256.8308154197477
6,0,3,3,-261.37107337036457
6,0,3,4,-259.6361213460675
6,0,4,0,-258.2018675846281
6,0,4,1,-259.3139511953233
6,0,4,2,-255.30381678430535
6,0,4,3,-258.5781148023481
6,0,4,4,-256.6050805901822
6,1,0,0,-234.4017192780963
6,1,0,1,-260.398319295821
6,1,0,2,-259.015404441388
6,1,0,3,-257.7032284087147
6,1,0,4,-261.1958810525924
6,1,1,0,-256.7089050457973
6,1,1,1,-258.88621887106297
6,1,1,2,-256.92463723162064
6,1,1,3,-255.08585564756834
6,1,1,4,-260.42778555922274
6,1,2,0,-257.5123381405999
6,1,2,1,-256.83055796833185
6,1,2,2,-254.96585681251418
6,1,2,3,-259.4280191138588
6,1,2,4,-259.7357204066595
6,1,3,0,-258.3376000023992
6,1,3,1,-256.34589782952474
6,1,3,2,-255.05164858533567
6,1,3,3,-258.262464979691
6,1,3,4,-257.74432708808524
6,1,4,0,-256.38579726061926
6,1,4,1,-255.31881657228814
6,1,4,2,-254.44955164109513
6,1,4,3,-255.76213433197057
6,1,4,4,-256.0326025545172
6,2,0,0,-233.6071002026287
6,2,0,1,-258.3743330673823
6,2,0,2,-258.9861174540486
6,2,0,3,-256.77515279912575
6,2,0,4,-258.9732808975209
6,2,1,0,-257.399806519489
6,2,1,1,-257.00526320076966
6,2,1,2,-258.9233770840558
6,2,1,3,-253.50852653065897
6,2,1,4,-257.8538726557358
6,2,2,0,-257.308329533403
6,2,2,1,-254.6904843047639
6,2,2,2,-253.41043154135616
6,2,2,3,-259.0479780417662
6,2,2,4,-258.0025458681274
6,2,3,0,-256.05957329535977
6,2,3,1,-254.03630880524588
6,2,3,2,-252.52955357902783
6,2,3,3,-257.17054828693404
6,2,3,4,-255.49294375368197
6,2,4,0,-254.06580890549304
6,2,4,1,-252.87580150796964
6,2,4,2,-253.9981052353436
6,2,4,3,-255.87897459770977
6,2,4,4,-254.011155137265
6,3,0,0,-239.6892065959014
6,3,0,1,-262.9460863929549
6,3,0,2,-260.0528819898101
6,3,0,3,-265.73322885509685
6,3,0,4,-268.0045705792146
6,3,1,0,-256.7407295151182
6,3,1,1,-261.8810038453104
6,3,1,2,-261.45677199351604
6,3,1,3,-257.68427443705343
6,3,1,4,-262.42382073737997
6,3,2,0,-263.7738944445698
6,3,2,1,-260.50181268723037
6,3,2,2,-254.65088210592057
6,3,2,3,-259.49067664522755
6,3,2,4,-265.13383318107174
6,3,3,0,-263.16815146351223
6,3,3,1,-261.3000658501729
6,3,3,2,-260.2735057257598
6,3,3,3,-262.3011821694712
6,3,3,4,-262.8832650955885
6,3,4,0,-261.0643787258928
6,3,4,1,-262.72545203110053
6,3,4,2,-258.78267238462706
6,3,4,3,-262.0385008592536
6,3,4,4,-259.1539959824672
